"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x39585367","x1224315350575144960",2020-02-03 12:55:00,"Harvard","Many people struggle to follow conversations in settings where other people are also speaking in the background https://t.co/RtobikjVmZ","Falcon Social Media Management ",135,,,,FALSE,FALSE,89,20,,,,,"hrvd.me/hearing238t","https://t.co/RtobikjVmZ","https://hrvd.me/hearing238t",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1224315350575144960","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1224308554447949824",2020-02-03 12:28:00,"Harvard","The skeletal traits of fish not only help them adapt to their environment, they also provide genetic insights into rare human disorders https://t.co/j6XbxXl41e","Twitter for iPhone",140,,,,FALSE,TRUE,0,9,,,,,,,,,,,,,,,,"x30862829","harvardmed","en",,,,,,,,,,,,,,,,"x1223341761952501760","The skeletal traits of fish not only help them adapt to their environment, they also provide genetic insights into rare human disorders https://t.co/j6XbxXl41e",2020-01-31 20:26:19,"Twitter Web App",76,9,"x30862829","harvardmed","Harvard Medical School",333617,684,14003,"Boston, MA","Official Twitter home of Harvard Medical School, featuring our advances in biomedical research, trends in medical education, and more.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1224308554447949824","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1224100182536617984",2020-02-02 22:40:00,"Harvard","Harvard alum Kyle Juszczyk will be among those taking the field for the San Francisco 49ers https://t.co/h0Cd10h9Jf","Falcon Social Media Management ",115,,,,FALSE,FALSE,78,10,,,,,"hrvd.me/juszczyk543t","https://t.co/h0Cd10h9Jf","https://hrvd.me/juszczyk543t",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1224100182536617984","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1224042307789434881",2020-02-02 18:50:02,"Harvard","Hasty Pudding Woman of the Year @ElizabethBanks visited campus on Friday: https://t.co/ybvX6FDheQ https://t.co/q7T6cp3oQz","Falcon Social Media Management ",97,,,,FALSE,FALSE,68,5,,,,,"hrvd.me/banks565t","https://t.co/ybvX6FDheQ","https://hrvd.me/banks565t","http://pbs.twimg.com/media/EPyr_UeXsAE94Xk.jpg","https://t.co/q7T6cp3oQz","https://twitter.com/Harvard/status/1224042307789434881/photo/1","photo","http://pbs.twimg.com/media/EPyr_UeXsAE94Xk.jpg","https://t.co/q7T6cp3oQz","https://twitter.com/Harvard/status/1224042307789434881/photo/1",,"x20196258","ElizabethBanks","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1224042307789434881","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1223998261020766208",2020-02-02 15:55:00,"Harvard","What do we know about coronavirus? Infectious disease specialist Marc Lipsitch discusses the outbreak. https://t.co/D8F0iiCjTw","Falcon Social Media Management ",126,,,,FALSE,FALSE,112,45,,,,,"hrvd.me/coronavirus878t","https://t.co/D8F0iiCjTw","https://hrvd.me/coronavirus878t",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1223998261020766208","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1223788156148948993",2020-02-02 02:00:07,"Harvard","Richard Theodore Greener, whose portrait is on display in Annenberg, was the first African American to earn an A.B. degree at Harvard. He became the first black faculty member at the University of South Carolina and in 1878 was named dean of Howard University School of Law. https://t.co/vCtqGvkiVc","Falcon Social Media Management ",274,,,,FALSE,FALSE,303,64,,,,,,,,"http://pbs.twimg.com/media/EPvE10EWkAA1riF.jpg","https://t.co/vCtqGvkiVc","https://twitter.com/Harvard/status/1223788156148948993/photo/1","photo","http://pbs.twimg.com/media/EPvE10EWkAA1riF.jpg","https://t.co/vCtqGvkiVc","https://twitter.com/Harvard/status/1223788156148948993/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1223788156148948993","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1223741569389551616",2020-02-01 22:55:00,"Harvard","Wyss researchers looking for a quicker way to test drugs link a series of organ chips to mimic the human vascular system https://t.co/L54AmERAVy","Falcon Social Media Management ",144,,,,FALSE,FALSE,85,29,,,,,"hrvd.me/humanchip655t","https://t.co/L54AmERAVy","https://hrvd.me/humanchip655t",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1223741569389551616","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1223682500469366787",2020-02-01 19:00:17,"Harvard","During Wintersession, students reconnected with old friends and met new ones at the first-year retreat: https://t.co/AaaL5lhmdP https://t.co/FuRovhBW3A","Falcon Social Media Management ",127,,,,FALSE,FALSE,66,10,,,,,"hrvd.me/retreat334t","https://t.co/AaaL5lhmdP","https://hrvd.me/retreat334t","http://pbs.twimg.com/media/EPtku3hXUAUMJQW.jpg","https://t.co/FuRovhBW3A","https://twitter.com/Harvard/status/1223682500469366787/photo/1","photo","http://pbs.twimg.com/media/EPtku3hXUAUMJQW.jpg http://pbs.twimg.com/media/EPtkvL_W4AICvNt.jpg http://pbs.twimg.com/media/EPtkvstXUAAtmQa.jpg","https://t.co/FuRovhBW3A https://t.co/FuRovhBW3A https://t.co/FuRovhBW3A","https://twitter.com/Harvard/status/1223682500469366787/photo/1 https://twitter.com/Harvard/status/1223682500469366787/photo/1 https://twitter.com/Harvard/status/1223682500469366787/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1223682500469366787","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1223638390572298241",2020-02-01 16:05:01,"Harvard","The creative writing program recently moved to a light-filled spot at the top of Lamont Library https://t.co/ZlqKgVFCT3","Falcon Social Media Management ",119,,,,FALSE,FALSE,100,22,,,,,"hrvd.me/creativewritin…","https://t.co/ZlqKgVFCT3","https://hrvd.me/creativewriting556t",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1223638390572298241","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
"x39585367","x1223614483911913472",2020-02-01 14:30:01,"Harvard","Harvard alum Kyle Juszczyk, an economics concentrator and former resident of Pforzheimer House, will play with the 49ers this weekend https://t.co/h0Cd10h9Jf","Falcon Social Media Management ",157,,,,FALSE,FALSE,125,13,,,,,"hrvd.me/juszczyk543t","https://t.co/h0Cd10h9Jf","https://hrvd.me/juszczyk543t",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Harvard/status/1223614483911913472","Harvard University","Cambridge, MA","Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","http://t.co/n5qU9llHb8",FALSE,1164394,770,9190,44033,8968,2009-05-12 20:18:09,TRUE,"http://t.co/n5qU9llHb8","http://www.harvard.edu",,"https://pbs.twimg.com/profile_banners/39585367/1599077685","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg"
